
2025/01/16 (13:27:11) | ===> btop++ v.1.4.0
2025/01/16 (13:27:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/16 (17:27:38) | ===> btop++ v.1.4.0
2025/01/16 (17:27:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/16 (17:32:14) | ===> btop++ v.1.4.0
2025/01/16 (17:32:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/16 (17:32:19) | ===> btop++ v.1.4.0
2025/01/16 (17:32:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/16 (17:33:41) | ===> btop++ v.1.4.0
2025/01/16 (17:33:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/16 (23:40:38) | ===> btop++ v.1.4.0
2025/01/16 (23:40:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (12:48:22) | ===> btop++ v.1.4.0
2025/01/17 (12:48:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (12:49:18) | ===> btop++ v.1.4.0
2025/01/17 (12:49:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (12:54:26) | ===> btop++ v.1.4.0
2025/01/17 (12:54:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (13:12:22) | ===> btop++ v.1.4.0
2025/01/17 (13:12:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (13:15:14) | ===> btop++ v.1.4.0
2025/01/17 (13:15:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (13:15:35) | ===> btop++ v.1.4.0
2025/01/17 (13:15:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (13:16:30) | ===> btop++ v.1.4.0
2025/01/17 (13:16:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (13:19:09) | ===> btop++ v.1.4.0
2025/01/17 (13:19:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (13:24:38) | ===> btop++ v.1.4.0
2025/01/17 (13:24:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (19:42:22) | ===> btop++ v.1.4.0
2025/01/18 (19:42:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (00:34:33) | ===> btop++ v.1.4.0
2025/01/23 (00:34:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/25 (16:32:13) | ===> btop++ v.1.4.0
2025/01/25 (16:32:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (15:57:34) | ===> btop++ v.1.4.0
2025/01/26 (15:57:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (17:03:56) | ===> btop++ v.1.4.0
2025/01/27 (17:03:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (20:50:29) | ===> btop++ v.1.4.0
2025/01/27 (20:50:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (21:00:37) | ===> btop++ v.1.4.0
2025/01/27 (21:00:37) | WARNING: Intel GPU: Failed to initialize PMU

